"ImageId","Label"
"0","6"
"1","4"
"2","3"
"3","1"
"4","4"
"5","9"
"6","1"
"7","0"
"8","2"
"9","1"
"10","4"
"11","5"
"12","2"
"13","5"
"14","4"
"15","6"
"16","1"
"17","1"
"18","4"
"19","4"
"20","3"
"21","6"
"22","3"
"23","1"
"24","8"
"25","1"
"26","2"
"27","2"
"28","0"
"29","8"
"30","5"
"31","1"
"32","6"
"33","7"
"34","6"
"35","2"
"36","9"
"37","6"
"38","2"
"39","7"
"40","4"
"41","4"
"42","5"
"43","9"
"44","0"
"45","1"
"46","1"
"47","4"
"48","4"
"49","7"
"50","1"
"51","4"
"52","3"
"53","4"
"54","9"
"55","7"
"56","4"
"57","1"
"58","1"
"59","6"
"60","2"
"61","1"
"62","0"
"63","3"
"64","0"
"65","5"
"66","2"
"67","1"
"68","4"
"69","4"
"70","6"
"71","2"
"72","1"
"73","1"
"74","7"
"75","6"
"76","0"
"77","4"
"78","2"
"79","4"
"80","8"
"81","2"
"82","2"
"83","1"
"84","5"
"85","3"
"86","0"
"87","6"
"88","1"
"89","7"
"90","7"
"91","5"
"92","6"
"93","7"
"94","5"
"95","9"
"96","0"
"97","4"
"98","3"
"99","1"
"100","4"
"101","3"
"102","6"
"103","1"
"104","2"
"105","1"
"106","9"
"107","2"
"108","3"
"109","2"
"110","1"
"111","5"
"112","3"
"113","4"
"114","7"
"115","3"
"116","2"
"117","3"
"118","3"
"119","4"
"120","0"
"121","0"
"122","2"
"123","8"
"124","1"
"125","1"
"126","4"
"127","0"
"128","0"
"129","0"
"130","7"
"131","3"
"132","6"
"133","2"
"134","4"
"135","1"
"136","1"
"137","6"
"138","2"
"139","2"
"140","1"
"141","1"
"142","7"
"143","1"
"144","1"
"145","3"
"146","7"
"147","7"
"148","0"
"149","7"
"150","6"
"151","2"
"152","0"
"153","0"
"154","7"
"155","4"
"156","0"
"157","2"
"158","7"
"159","4"
"160","5"
"161","6"
"162","0"
"163","2"
"164","7"
"165","2"
"166","0"
"167","0"
"168","3"
"169","8"
"170","2"
"171","6"
"172","1"
"173","4"
"174","1"
"175","7"
"176","1"
"177","1"
"178","3"
"179","2"
"180","0"
"181","5"
"182","4"
"183","7"
"184","2"
"185","2"
"186","7"
"187","8"
"188","3"
"189","0"
"190","1"
"191","1"
"192","4"
"193","1"
"194","6"
"195","6"
"196","3"
"197","5"
"198","1"
"199","8"
"200","2"
"201","2"
"202","3"
"203","1"
"204","4"
"205","2"
"206","7"
"207","7"
"208","7"
"209","9"
"210","7"
"211","1"
"212","0"
"213","0"
"214","3"
"215","2"
"216","2"
"217","8"
"218","1"
"219","1"
"220","1"
"221","1"
"222","2"
"223","3"
"224","1"
"225","2"
"226","4"
"227","0"
"228","0"
"229","7"
"230","4"
"231","5"
"232","3"
"233","3"
"234","1"
"235","1"
"236","0"
"237","3"
"238","1"
"239","2"
"240","5"
"241","1"
"242","3"
"243","7"
"244","1"
"245","7"
"246","3"
"247","6"
"248","1"
"249","4"
"250","7"
"251","1"
"252","6"
"253","1"
"254","5"
"255","0"
"256","7"
"257","4"
"258","1"
"259","1"
"260","0"
"261","5"
"262","3"
"263","1"
"264","0"
"265","1"
"266","0"
"267","3"
"268","4"
"269","2"
"270","7"
"271","6"
"272","1"
"273","3"
"274","6"
"275","6"
"276","1"
"277","2"
"278","3"
"279","4"
"280","1"
"281","3"
"282","4"
"283","1"
"284","0"
"285","2"
"286","2"
"287","5"
"288","1"
"289","7"
"290","0"
"291","1"
"292","4"
"293","0"
"294","4"
"295","2"
