"ImageId","Label"
"0","6"
"1","6"
"2","3"
"3","1"
"4","9"
"5","4"
"6","1"
"7","0"
"8","2"
"9","1"
"10","9"
"11","5"
"12","2"
"13","5"
"14","4"
"15","6"
"16","1"
"17","1"
"18","4"
"19","4"
"20","6"
"21","6"
"22","3"
"23","7"
"24","6"
"25","1"
"26","6"
"27","2"
"28","0"
"29","1"
"30","5"
"31","1"
"32","6"
"33","9"
"34","6"
"35","2"
"36","6"
"37","6"
"38","6"
"39","6"
"40","6"
"41","6"
"42","6"
"43","8"
"44","6"
"45","1"
"46","3"
"47","6"
"48","6"
"49","7"
"50","1"
"51","6"
"52","5"
"53","6"
"54","9"
"55","7"
"56","4"
"57","8"
"58","6"
"59","6"
"60","6"
"61","7"
"62","0"
"63","3"
"64","0"
"65","5"
"66","6"
"67","1"
"68","4"
"69","4"
"70","6"
"71","7"
"72","1"
"73","1"
"74","2"
"75","5"
"76","0"
"77","9"
"78","2"
"79","6"
"80","8"
"81","2"
"82","8"
"83","8"
"84","5"
"85","3"
"86","3"
"87","6"
"88","7"
"89","7"
"90","6"
"91","5"
"92","6"
"93","7"
"94","5"
"95","9"
"96","0"
"97","6"
"98","3"
"99","1"
"100","9"
"101","3"
"102","6"
"103","6"
"104","2"
"105","3"
"106","8"
"107","6"
"108","3"
"109","2"
"110","8"
"111","5"
"112","3"
"113","4"
"114","7"
"115","3"
"116","6"
"117","3"
"118","5"
"119","9"
"120","0"
"121","6"
"122","2"
"123","8"
"124","1"
"125","1"
"126","9"
"127","7"
"128","6"
"129","0"
"130","7"
"131","3"
"132","6"
"133","2"
"134","9"
"135","1"
"136","2"
"137","6"
"138","2"
"139","2"
"140","1"
"141","8"
"142","7"
"143","1"
"144","1"
"145","3"
"146","7"
"147","4"
"148","0"
"149","9"
"150","6"
"151","2"
"152","0"
"153","0"
"154","7"
"155","4"
"156","6"
"157","2"
"158","7"
"159","4"
"160","9"
"161","6"
"162","0"
"163","2"
"164","7"
"165","3"
"166","0"
"167","0"
"168","3"
"169","6"
"170","3"
"171","6"
"172","7"
"173","4"
"174","3"
"175","7"
"176","1"
"177","1"
"178","3"
"179","2"
"180","0"
"181","5"
"182","6"
"183","7"
"184","6"
"185","2"
"186","7"
"187","7"
"188","3"
"189","0"
"190","8"
"191","1"
"192","6"
"193","1"
"194","6"
"195","6"
"196","5"
"197","7"
"198","8"
"199","8"
"200","2"
"201","2"
"202","3"
"203","7"
"204","6"
"205","6"
"206","8"
"207","7"
"208","2"
"209","0"
"210","7"
"211","1"
"212","0"
"213","6"
"214","3"
"215","1"
"216","2"
"217","8"
"218","1"
"219","1"
"220","6"
"221","8"
"222","2"
"223","6"
"224","1"
"225","7"
"226","6"
"227","6"
"228","0"
"229","7"
"230","6"
"231","5"
"232","5"
"233","3"
"234","7"
"235","1"
"236","8"
"237","5"
"238","1"
"239","6"
"240","9"
"241","6"
"242","3"
"243","6"
"244","8"
"245","7"
"246","6"
"247","6"
"248","1"
"249","0"
"250","7"
"251","7"
"252","6"
"253","8"
"254","6"
"255","0"
"256","4"
"257","4"
"258","1"
"259","2"
"260","0"
"261","8"
"262","3"
"263","4"
"264","7"
"265","1"
"266","0"
"267","5"
"268","4"
"269","2"
"270","7"
"271","6"
"272","6"
"273","5"
"274","6"
"275","6"
"276","1"
"277","6"
"278","3"
"279","6"
"280","1"
"281","3"
"282","4"
"283","1"
"284","5"
"285","6"
"286","2"
"287","7"
"288","1"
"289","7"
"290","7"
"291","8"
"292","9"
"293","6"
"294","4"
"295","4"
"296","7"
"297","1"
"298","4"
"299","2"
"300","0"
"301","2"
"302","1"
"303","2"
"304","6"
"305","7"
"306","2"
"307","8"
"308","2"
"309","6"
"310","4"
"311","0"
"312","7"
"313","7"
"314","8"
"315","9"
"316","5"
"317","1"
"318","2"
"319","1"
"320","5"
"321","1"
"322","1"
"323","1"
"324","5"
"325","7"
"326","6"
"327","7"
"328","5"
"329","0"
"330","1"
"331","0"
"332","8"
"333","6"
"334","6"
"335","6"
"336","0"
"337","0"
"338","3"
"339","3"
"340","6"
"341","4"
"342","6"
"343","8"
"344","1"
"345","1"
"346","8"
"347","8"
"348","2"
"349","2"
"350","4"
"351","7"
"352","1"
"353","6"
"354","2"
"355","1"
"356","4"
"357","4"
"358","2"
"359","6"
"360","1"
"361","0"
"362","5"
"363","2"
"364","6"
"365","0"
"366","6"
"367","6"
"368","3"
"369","1"
"370","0"
"371","6"
"372","6"
"373","0"
"374","1"
"375","3"
"376","2"
"377","4"
"378","0"
"379","8"
"380","9"
"381","5"
"382","7"
"383","0"
"384","5"
"385","7"
"386","1"
"387","4"
"388","2"
"389","1"
"390","1"
"391","6"
"392","8"
"393","2"
"394","7"
"395","8"
"396","3"
"397","0"
"398","1"
"399","6"
"400","9"
"401","4"
"402","3"
"403","4"
"404","3"
"405","4"
"406","6"
"407","6"
"408","0"
"409","7"
"410","0"
"411","7"
"412","4"
"413","7"
"414","6"
"415","2"
"416","4"
"417","0"
"418","0"
"419","8"
"420","0"
"421","7"
"422","2"
"423","4"
"424","0"
"425","7"
"426","7"
"427","4"
"428","8"
"429","1"
"430","7"
"431","6"
"432","5"
"433","1"
"434","1"
"435","4"
"436","1"
"437","6"
"438","3"
"439","7"
"440","1"
"441","6"
"442","6"
"443","4"
"444","7"
"445","8"
"446","4"
"447","6"
"448","2"
"449","0"
"450","7"
"451","8"
"452","4"
"453","8"
